,0,Features remaining
0,False,226
1,False,
2,False,
3,True,
4,True,
5,True,
6,True,
7,True,
8,True,
9,True,
10,True,
11,True,
12,True,
13,True,
14,True,
15,True,
16,True,
17,True,
18,True,
19,True,
20,True,
21,True,
22,True,
23,True,
24,True,
25,True,
26,True,
27,True,
28,True,
29,True,
30,True,
31,True,
32,True,
33,True,
34,True,
35,True,
36,True,
37,True,
38,True,
39,True,
40,True,
41,True,
42,True,
43,True,
44,True,
45,True,
46,True,
47,True,
48,True,
49,True,
50,True,
51,True,
52,True,
53,True,
54,True,
55,True,
56,True,
57,True,
58,True,
59,True,
60,True,
61,True,
62,True,
63,True,
64,True,
65,True,
66,True,
67,True,
68,False,
69,True,
70,True,
71,True,
72,True,
73,True,
74,True,
75,True,
76,True,
77,True,
78,True,
79,False,
80,True,
81,True,
82,True,
83,True,
84,True,
85,True,
86,False,
87,True,
88,False,
89,False,
90,False,
91,False,
92,True,
93,True,
94,True,
95,True,
96,True,
97,True,
98,True,
99,True,
100,False,
101,False,
102,False,
103,False,
104,False,
105,True,
106,True,
107,False,
108,True,
109,False,
110,True,
111,False,
112,False,
113,False,
114,False,
115,False,
116,True,
117,False,
118,True,
119,False,
120,True,
121,False,
122,False,
123,False,
124,False,
125,False,
126,False,
127,False,
128,False,
129,False,
130,False,
131,False,
132,False,
133,False,
134,False,
135,False,
136,False,
137,False,
138,True,
139,False,
140,False,
141,False,
142,True,
143,False,
144,True,
145,False,
146,True,
147,False,
148,False,
149,False,
150,False,
151,False,
152,False,
153,False,
154,False,
155,False,
156,False,
157,False,
158,False,
159,False,
160,False,
161,False,
162,False,
163,False,
164,False,
165,False,
166,False,
167,False,
168,False,
169,False,
170,False,
171,False,
172,False,
173,False,
174,False,
175,False,
176,False,
177,False,
178,False,
179,False,
180,False,
181,False,
182,False,
183,False,
184,False,
185,False,
186,False,
187,False,
188,False,
189,False,
190,False,
191,False,
192,False,
193,False,
194,False,
195,False,
196,False,
197,False,
198,False,
199,False,
200,False,
201,False,
202,False,
203,False,
204,False,
205,False,
206,False,
207,False,
208,False,
209,False,
210,False,
211,False,
212,False,
213,False,
214,False,
215,False,
216,True,
217,True,
218,True,
219,True,
220,True,
221,True,
222,True,
223,True,
224,True,
225,False,
226,True,
227,True,
228,True,
229,True,
230,True,
231,True,
232,True,
233,True,
234,True,
235,True,
236,True,
237,True,
238,True,
239,True,
240,False,
241,True,
242,True,
243,True,
244,True,
245,True,
246,True,
247,True,
248,True,
249,True,
250,False,
251,False,
252,False,
253,False,
254,False,
255,False,
256,False,
257,False,
258,False,
259,False,
260,False,
261,False,
262,False,
263,False,
264,False,
265,False,
266,False,
267,False,
268,False,
269,False,
270,False,
271,False,
272,False,
273,False,
274,False,
275,False,
276,False,
277,False,
278,False,
279,False,
280,False,
281,False,
282,False,
283,False,
284,False,
285,False,
286,False,
287,False,
288,False,
289,False,
290,False,
291,False,
292,False,
293,False,
294,False,
295,False,
296,False,
297,False,
298,False,
299,False,
300,False,
301,False,
302,False,
303,False,
304,False,
305,False,
306,False,
307,False,
308,False,
309,False,
310,False,
311,False,
312,False,
313,False,
314,False,
315,False,
316,False,
317,False,
318,False,
319,False,
320,False,
321,False,
322,False,
323,False,
324,False,
325,False,
326,False,
327,False,
328,False,
329,False,
330,False,
331,False,
332,False,
333,False,
334,False,
335,False,
336,False,
337,False,
338,False,
339,False,
340,False,
341,False,
342,False,
343,False,
344,False,
345,False,
346,False,
347,False,
348,False,
349,False,
350,False,
351,False,
352,False,
353,False,
354,False,
355,False,
356,False,
357,False,
358,False,
359,False,
360,False,
361,False,
362,False,
363,False,
364,False,
365,False,
366,False,
367,False,
368,False,
369,False,
370,False,
371,False,
372,False,
373,False,
374,False,
375,False,
376,False,
377,False,
378,False,
379,False,
380,False,
381,False,
382,False,
383,False,
384,False,
385,False,
386,False,
387,False,
388,False,
389,False,
390,False,
391,False,
392,False,
393,False,
394,False,
395,False,
396,False,
397,False,
398,False,
399,False,
400,False,
401,False,
402,False,
403,False,
404,False,
405,False,
406,False,
407,False,
408,False,
409,False,
410,False,
411,False,
412,False,
413,False,
414,False,
415,False,
416,False,
417,False,
418,False,
419,False,
420,False,
421,False,
422,False,
423,False,
424,False,
425,False,
426,False,
427,False,
428,False,
429,False,
430,False,
431,False,
432,False,
433,False,
434,False,
435,False,
436,False,
437,False,
438,False,
439,False,
440,False,
441,False,
442,False,
443,False,
444,False,
445,False,
446,False,
447,False,
448,False,
449,False,
450,False,
451,False,
452,False,
453,False,
454,False,
455,False,
456,False,
457,False,
458,False,
459,False,
460,False,
461,False,
462,False,
463,False,
464,False,
465,False,
466,False,
467,False,
468,False,
469,False,
470,False,
471,False,
472,False,
473,False,
474,False,
475,False,
476,False,
477,False,
478,False,
479,False,
480,False,
481,False,
482,False,
483,False,
484,False,
485,False,
486,False,
487,False,
488,False,
489,False,
490,False,
491,False,
492,False,
493,False,
494,False,
495,False,
496,False,
497,False,
498,False,
499,False,
500,False,
501,False,
502,False,
503,True,
504,True,
505,False,
506,True,
507,True,
508,True,
509,True,
510,True,
511,True,
512,True,
513,True,
514,True,
515,True,
516,True,
517,True,
518,True,
519,False,
520,True,
521,False,
522,False,
523,False,
524,False,
525,False,
526,False,
527,True,
528,False,
529,True,
530,True,
531,True,
532,True,
533,False,
534,False,
535,False,
536,False,
537,False,
538,False,
539,False,
540,False,
541,False,
542,False,
543,False,
544,False,
545,False,
546,False,
547,False,
548,False,
549,False,
550,False,
551,False,
552,False,
553,False,
554,False,
555,False,
556,False,
557,False,
558,False,
559,False,
560,False,
561,False,
562,False,
563,False,
564,False,
565,False,
566,False,
567,False,
568,False,
569,False,
570,False,
571,False,
572,False,
573,False,
574,False,
575,False,
576,False,
577,False,
578,False,
579,False,
580,False,
581,False,
582,False,
583,False,
584,False,
585,False,
586,False,
587,False,
588,False,
589,False,
590,False,
591,False,
592,False,
593,False,
594,False,
595,False,
596,False,
597,False,
598,False,
599,False,
600,False,
601,False,
602,False,
603,False,
604,False,
605,False,
606,False,
607,False,
608,False,
609,False,
610,False,
611,False,
612,False,
613,False,
614,False,
615,False,
616,False,
617,False,
618,False,
619,False,
620,False,
621,False,
622,False,
623,False,
624,False,
625,False,
626,False,
627,False,
628,False,
629,False,
630,False,
631,False,
632,False,
633,False,
634,True,
635,True,
636,True,
637,True,
638,True,
639,True,
640,True,
641,True,
642,True,
643,True,
644,True,
645,False,
646,False,
647,True,
648,True,
649,True,
650,False,
651,True,
652,False,
653,False,
654,False,
655,True,
656,True,
657,False,
658,True,
659,True,
660,True,
661,True,
662,True,
663,False,
664,False,
665,False,
666,False,
667,False,
668,True,
669,False,
670,True,
671,True,
672,True,
673,False,
674,False,
675,False,
676,False,
677,False,
678,False,
679,False,
680,False,
681,False,
682,False,
683,False,
684,False,
685,True,
686,True,
687,True,
688,False,
689,False,
690,False,
691,False,
692,False,
693,False,
694,False,
695,False,
696,False,
697,False,
698,True,
699,False,
700,True,
701,True,
702,True,
703,False,
704,True,
705,False,
706,False,
707,False,
708,False,
709,False,
710,False,
711,True,
712,True,
713,True,
714,True,
715,True,
716,True,
717,True,
718,False,
719,False,
720,False,
721,False,
722,False,
723,False,
724,False,
725,False,
726,False,
727,False,
728,True,
729,False,
730,False,
731,False,
732,False,
733,False,
734,False,
735,False,
736,False,
737,False,
738,False,
739,False,
740,False,
741,False,
742,False,
743,False,
744,False,
745,False,
746,False,
747,False,
748,False,
749,False,
750,False,
751,False,
752,False,
753,False,
754,False,
755,False,
756,False,
757,False,
758,False,
759,False,
760,False,
761,False,
762,False,
763,False,
764,False,
765,False,
766,False,
767,False,
768,False,
769,False,
770,False,
771,False,
772,False,
773,False,
774,False,
775,False,
776,False,
777,False,
778,False,
779,False,
780,False,
781,False,
782,False,
783,False,
784,False,
785,False,
786,False,
787,False,
788,False,
789,False,
790,False,
791,False,
792,False,
793,False,
794,False,
795,False,
796,False,
797,False,
798,False,
799,False,
800,False,
801,False,
802,False,
803,False,
804,False,
805,False,
806,False,
807,False,
808,False,
809,False,
810,False,
811,False,
812,False,
813,False,
814,False,
815,False,
816,False,
817,False,
818,False,
819,False,
820,False,
821,False,
822,False,
823,False,
824,False,
825,False,
826,False,
827,False,
828,False,
829,False,
830,False,
831,False,
832,False,
833,False,
834,False,
835,False,
836,False,
837,False,
838,False,
839,False,
840,False,
841,False,
842,False,
843,False,
844,False,
845,False,
846,False,
847,False,
848,False,
849,False,
850,False,
851,False,
852,False,
853,False,
854,False,
855,False,
856,False,
857,False,
858,False,
859,False,
860,False,
861,False,
862,False,
863,True,
864,True,
865,True,
866,True,
867,True,
868,True,
869,True,
870,True,
871,True,
872,True,
873,True,
874,False,
875,True,
876,False,
877,True,
878,False,
879,True,
880,True,
881,True,
882,True,
883,True,
884,True,
885,True,
886,True,
887,True,
888,True,
889,True,
890,True,
891,True,
892,True,
893,True,
894,True,
895,False,
896,False,
897,False,
898,False,
899,True,
900,False,
